ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone 7 Plus,sprint,32 GB,black,130,"Condition is Used. It has regular wear and tear, some nicks that don't affect the performance of the Device. The screen has NEVER been replaced. OEM, works flawless. It has always had a Military grade screen protector on it (rhinoshield). TheONLY PROBLEM with this phone is that the camera is broken but still works good, there is no glass on the back camera so refer to the photos. This may also be a project for someone who wants a working phone for parts but this phone is 100% working, ready to be activated. what you see on the pictures is what you get.--- READ FULL DESCRIPTION"
iPhone 6s,verizon,64 GB,space gray,127.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Display Lens Wear - Heavy, Light Bright Spots, Light iPhone Halo, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 5c,at&t,32 GB,white,29,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Heavy Dead Pixels/Bright Spots/Screen Burn, Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone X,verizon,64 GB,space gray,480,Used iPhone X 64 GB for Verizon. Light scratches on front of phone.
iPhone 6 Plus,verizon,64 GB,silver,129.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone X,at&t,64 GB,space gray,475,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light, Light iPhone Halo. This item has been professionally tested.  It powers on and functions normally, with the exception of the following non-essential functional issue(s): Ancillary/Navigation Keys Damaged/Missing"
iPhone XR,at&t,64 GB,white,458,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light Bright Spots, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,at&t,16 GB,silver,71,"The product's external housing is severely/heavily damaged. Specific defects include: Display Lens Wear - Shattered, Minor Screen Separation, Housing Wear - Heavy. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,at&t,16 GB,rose gold,89.99,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone XR,at&t,64 GB,coral,455,"This device is in Good Condition. These are normal used condition devices with signs of wear. Examples are small dings or light scratching. Please see photos for details. All functionalities have been rigorously tested, and this device is confirmed to be 100% fully functional."
iPhone 5s,verizon,16 GB,gray,43,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone SE,unlocked,64 GB,space gray,73,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Moderate. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,unlocked,128 GB,space gray,103.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy. This item has been professionally tested.  It powers on and functions normally, with the exception of the following non-essential functional issue(s): Ancillary/Navigation Keys - Intermittent"
iPhone SE,unlocked,32 GB,space gray,89,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Light iPhone Halo, Housing Wear - Moderate, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,at&t,64 GB,silver,108.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Display Lens Wear - Heavy, Housing Wear - Moderate, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone SE,t-mobile,16 GB,space gray,54.99,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8,verizon,64 GB,space gray,305,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8,verizon,64 GB,gold,236.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested.  It powers on and functions normally, with the exception of the following non-essential functional issue(s): Camera Malfunction"
iPhone 7 Plus,t-mobile,128 GB,black,159.95,PLEASE READ! FOR PARTS ONLY! PHONE HAS A BAD ESN! BATTERY NEEDS SERVICE! PREMIUM AFTERMARKET SCREEN HAS BEEN INSTALLED! FOR PARTS ONLY! PLEASE READ!
iPhone X,sprint,64 GB,space gray,306,"USED: NO INTERNATIONAL BUYERS!!!! USED......IMEI #356727088415821>>> YOU CALL SPRINT for information.  Does have lots of scratches to the screen, and also has some dings in the screen as shown.  The phone is a SPRINT phone!.Has a few dings in the housing on the sides.....SWAPPA ESN check shows clean but we've NOT checked it with AT&T, SPRINT, T-MOBILE, VERIZON or ANY other cell phone provider! CHECK IT BEFORE YOU BUY IT......  No iCloud accounts attached to the phone!!! Comes as shown!  The charger and data cable are NOT Apple Branded, they are generic accessories!  Battery Health shows great at 90%."
iPhone X,at&t,64 GB,silver,620,Great condition. All works functionally. Some normal wear and tear.
iPhone 7,at&t,32 GB,black,84,"Phone is fully functional except the home button, including Touch ID, does not work at all. Great physical condition other than a chip in the lower left corner of glass. LCD functions perfectly."
iPhone 7,at&t,32 GB,black,81,Phone is fully functional except the home button. The home button is cracked and the phone does not respond when button is pressed. Touch ID also does not work as a result.
iPhone 7,unlocked,128 GB,silver,200,"Received it as a gift and used it for two months. 10/10 condition, no scratches, dents or other imperfections"
iPhone 6s,at&t,16 GB,rose gold,88,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested.  It powers on and functions normally, with the exception of the following non-essential functional issue(s): Loudspeaker"
iPhone 6,at&t,16 GB,silver,81,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Display Lens Wear - Heavy, Housing Wear - Moderate, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8 Plus,at&t,64 GB,red,395,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Cracked, Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s Plus,at&t,32 GB,gold,138.5,"The product's external housing is severely/heavily damaged. Specific defects include: Display Lens Wear - Shattered, Housing Wear - Heavy, Light Bright Spots, Light iPhone Halo, Aftermarket Display Lens/Glass. This item has been professionally tested.  It powers on and functions normally, with the exception of the following non-essential functional issue(s): Camera Malfunction, Finger Print Scanner Malfunction"
